path	size_bytes	line_count	extension	notes
modules/streaming/__init__.py	159	6	.py	
modules/streaming/config/processors.yaml	443	9	.yaml	
modules/streaming/config/topics.yaml	354	13	.yaml	
modules/streaming/main.py	238	15	.py	
modules/streaming/router.py	863	25	.py	
modules/streaming/schemas.py	778	30	.py	
modules/streaming/service.py	3021	88	.py	
modules/supplier_procurement_intelligence/Dockerfile	226	7	[no_ext]	
modules/supplier_procurement_intelligence/README.md	526	15	.md	readme
modules/supplier_procurement_intelligence/__init__.py	35	1	.py	
modules/supplier_procurement_intelligence/main.py	262	15	.py	
modules/supplier_procurement_intelligence/router.py	2046	52	.py	
modules/supplier_procurement_intelligence/schemas.py	892	35	.py	
